SentenceID,CodeSwitchedSentence,IndicesOfCodeSwitchedWord,IndicesOfPunctuation,TranslatedSentence,AddedWordList
492,chase 5/24 在 拿到 第一 张 卡 并且 信用 记录 长度 足够 之后 ， 理论 上 来讲 就 可以 随便 申 卡 了 。,[0_1],[13_23],大通银行 5/24 在 拿到 第一 张 卡 并且 信用 记录 长度 足够 之后 ， 理论 上 来讲 就 可以 随便 申 卡 了 。,
493,但是 chase 一部分 很 好 的 信用卡 受到 一 个 特殊 规则 的 影响 ： 两 年 五 卡 政策 （ 5/24 rule ） 。,[1_22_23_24],[14_20_23_24],但是 大通银行一部分 很 好 的 信用卡 受到 一 个 特殊 规则 的 影响 ： 两 年 五 卡 政策 （ 5/24 规定）。,
494,这个 新 账户 的 定义 不仅仅 包含 chase 自家 的 信用卡 ， 而是 包含 所有 信用卡 。,[7],[11_16],这个 新 账户 的 定义 不仅仅 包含 大通银行 自家 的 信用卡 ， 而是 包含 所有 信用卡 。,
495,其中 比较 推荐 申请 几 张 如下 ： chase freedom 在 这个 阶段 不要 太 心急 ， 花 几 个 月 的 时间 慢慢 申 就好 ， 否则 很 容易 被 拒 。,[8_9],[7_16_26_32],其中 比较 推荐 申请 几 张 如下 ： 大通银行自由行 在 这个 阶段 不要 太 心急 ， 花 几 个 月 的 时间 慢慢 申 就好 ， 否则 很 容易 被 拒 。,
498,我 找 了 很久 floor plan ， 但是 真的 真的 没有 找到 。,[4_5_6],[6_12],我 找 了 很久 房型预览， 但是 真的 真的 没有 找到 。,
499,要求 ： graduate student 及 以上 优先 。,[2_3],[1_7],要求 ： 研究生及 以上 优先 。,
500,undergraduate 学生 能 满足 物业 条件 也 可以 。,[0],[8],本科 学生 能 满足 物业 条件 也 可以 。,
501,lease 8/1 开始 到 明年 7/31一 年 。,[0_1],[7],租房合同8/1 开始 到 明年 7/31一 年 。,
502,不 接受 其他 lease 。,[3_4],[4],不 接受 其他 租房合同。,
503,state college 价钱 可 商量 ， 有 兴趣 请 联系 ！,[0_1],[5_10],斯泰特克里奇 价钱 可 商量 ， 有 兴趣 请 联系 ！,
504,lease 是 单独 签 这 一 间 卧室 ， 不 跟 别人 搅和 。,[0],[8_13],租房合同是单独 签 这 一 间 卧室 ， 不 跟 别人 搅和 。,
505,卧室 里 配 的 是 queen size 的 床 （ 相当于 国内 1 .,[5_6],[9_13],卧室 里 配 的 是 一米五宽的 床 （ 相当于 国内 1.,[1]
506,啊 勘误 ， queen size 的 床 是 一 米 五 的 ！,[3_4],[2_12],啊 勘误 ， 一米五宽的 床 是 一 米 五 的 ！,
507,第二 年 开始 ， 是否 继续 ta 要看 导师 有 没 有 funding 给 你 付 工资 和 学费 ， 很少 有 五 年 都 ta 的 人 ， 也 很 少 有 五 年 都 ra 的 人,[6_12_25_36],[3_19_28],第二 年 开始 ， 是否 继续 教学助理 要看 导师 有 没 有资金给 你 付 工资 和 学费 ， 很少 有 五 年 都 教学助理 的 人 ， 也 很 少 有 五 年 都 宿舍管理的 人,
508,我 的 联系 方式 ： email : em@13,[5_6_7],[4_6_7],我 的 联系 方式 ：邮箱: em@13,
509,我 的 email : em@14,[2_3_4],[3_4],我 的邮箱 : em@14,
510,打包 free ！,[1_2],[2],打包免费！,
511,拍照 free !,[1_2],[2],照相免费！,
512,更新 条件 为 到 ist building 近 一点 ， 公交 频率 高 一点 。,[4_5],[8_13],更新 条件 为 到 ist教学楼近 一点 ， 公交 频率 高 一点 。,
513,不 包含 各 种 utilities 。,[4_5],[5],不 包含 各 种 公共设施。,
514,floor plan 如下 ：,[0_1],[3],房型预览 如下 ：,
515,请 联系 email : em@15,[2_3_4],[3_4],请 联系 邮箱: em@15,
516,代 八月 来 这儿 的 一 个 phd 朋友 发 的 。,[7],[11],代 八月 来 这儿 的 一 个 博士生 朋友 发 的 。,
517,要求 爱 干净 ， 不 要 party prince ， 不 养 宠物 。,[6_7_8],[3_8_12],要求 爱 干净 ， 不 要 爱派对的女孩 ， 不 养 宠物 。,
518,请 联系 微 信 ： rodin_9403 注明 ride,[7],[4],请 联系 微 信 ： rodin_9403 注明 搭车,
519,up ， lease 至 明年 暑假,[0_1_2],[1],帕克校区，租房合同 至 明年 暑假,
521,没 问题 ， 这 车 是 我 出差 nyc 和 dc 的 主力 。,[8_10],[2_13],没 问题 ， 这 车 是 我 出差 纽约 和华盛顿的 主力 。,
522,房子 到 bus 站 一 分钟 就 能 走到 ， 去 学校 非常 方便 ；,[2],[9_14],房子 到 公交站 一 分钟 就 能 走到 ， 去 学校 非常 方便 ；,
523,所以 all in all 每 个 月 花费 只 约 六百 刀 搞定 。,[1_2_3],[13],所以 所有包含 每 个 月 花费 只 约 六百 刀 搞定 。,
524,具体 lease 时间 2017 .,[1],[4],具体 租房合同 时间 2017.,[2017]
525,park forest villas 一 室 一 厅 。,[0_1_2],[7],帕克森林别墅一室一厅,
527,可以 直接 送到 world trade center 吗 ？,[3_4_5],[7],可以 直接 送到 世界贸易中心吗 ？,
528,可以 直接 送到 world trade center 吗 ？,[3_4_5],[7],可以 直接 送到 世界贸易中心吗 ？,
529,填 ds-2019 表 信息 的 网页 上 ， 好像 说 的 是 ， 只要 满足 各 种 赔付 额 条件 的 保险 都 可以 申请 waiver,[1_25],[7_12],填 ds-2019 表 信息 的 网页 上 ， 好像 说 的 是 ， 只要 满足 各 种 赔付 额 条件 的 保险 都 可以 申请 弃权书,
530,女生 phd ， 请 问 房子 还 可以 租 吗 ？,[1_2],[2_10],女生 博士 ， 请 问 房子 还 可以 租 吗 ？,
531,里程 数 ： 60，000 mile 左右 。,[4],[2_6],里程 数 ： 60，000 英里 左右 。,
532,bose 音响 。,[0],[2],博士音响,
533,不 走 gift 。,[2_3],[3],礼物模式,
534,邮件 已 回 ~ 不 知道 这个 bbs 怎么 点 回复 啊 。,[7],[3_12],邮件 已 回 ~ 不 知道 这个 美国二手网 怎么 点 回复 啊 。,
535,有偿 求 ride ， 可以 一起 租车 走 ！,[2_3],[3_8],有偿 求 搭车， 可以 一起 租车 走 ！,
536,求 ride ， 非常 感谢,[1_2],[2],求 搭车 ， 非常 感谢,
538,） 岁 以上 跟 学校 的 差不多 价格 ， 大概 是 $300 / month,[0_13],[0_8_12],） 岁 以上 跟 学校 的 差不多 价格 ， 大概 是 $300 / 月,
539,再者 waiver 填 表格 麻烦 吗 ？,[1],[6],再者弃权填 表格 麻烦 吗 ？,
540,欢迎 站 内 或 联系 candy em@10,[5_6],[6],欢迎 站 内 或 联系 em@11,
541,如 标题 ， 求 几 天 短 租用 来 寻 个 住处 在 我 两 个 房屋 lease 之间 过渡 。,[17],[2_20],如 标题 ， 求 几 天 短 租用 来 寻 个 住处 在 我 两 个 房屋 租房合同 之间 过渡 。,
542,欢迎 站 内 或 联系 candy em@10,[5_6],[6],欢迎 站 内 或 联系 em@11,
543,有偿 求 ride 。,[2_3],[3],有偿 求 搭车。,
544,学校 后面 的 lion surplus 里面 有 很多 ， 非常 划算 。,[3_4],[8_11],学校 后面 的 狮子盈余 里面 有 很多 ， 非常 划算 。,
545,打包 free ！,[1_2],[2],打包免费！,
546,拍照 free !,[1_2],[2],拍照免费！,
547,如果 有 喜欢 狗 狗 的 朋友 愿意 帮忙 照看 lucio ， 我 愿意 付 合适 的 酬劳 ， 并且 提供 狗 粮 、 狗 玩具 等 用品 。,[10_11],[11_18_23_28],如果 有 喜欢 狗 狗 的 朋友 愿意 帮忙 照看 卢西奥 ， 我 愿意 付 合适 的 酬劳 ， 并且 提供 狗 粮 、 狗 玩具 等 用品 。,
548,国内 ota 行业 no .,[1_3_4],[4],国内 职业疗法医生协会 行业 no.,[no]
549,你 要 去 nyc 还是 哪 啊 ？,[3],[7],你 要 去 纽约 还是 哪 啊 ？,
550,你 要 去 nyc 还是 哪 啊 ？,[3],[7],你 要 去 纽约 还是 哪 啊 ？,
551,你 要 去 nyc 还是 哪 啊 ？,[3],[7],你 要 去 纽约 还是 哪 啊 ？,
552,你 要 去 nyc 还是 哪 啊 ？,[3],[7],你 要 去 纽约 还是 哪 啊 ？,
553,距离 学校 开车 十 分钟 ， 也 有 公交 和 学校 的 shuttle ， 距离 超市 （ giant ） 非常 近 走路 可以 到 。,[12_13_17_18],[5_13_16_18_24],距离 学校 开车 十 分钟 ， 也 有 公交 和 学校 的 校车， 距离 超市 （ 伟大超市） 非常 近 走路 可以 到 。,
554,交通 方便 ， 小区 有 hp ， vn ， nv 线 。,[5_6_7_8_9],[2_6_8_11],交通 方便 ， 小区 有 hp ， vn ， nv 线 。,
555,clubhouse 有 免费 彩印 ， 复印 服务 。,[0],[4_7],活动室 有 免费 彩印 ， 复印 服务 。,
556,各位 师兄 师姐 ， 我 找 了 一 圈 房子 ， 最后 看到 imperial tower 还 可以 申请 ， 就 发 邮件 申请 了 。,[13_14],[3_10_18_24],各位 师兄 师姐 ， 我 找 了 一 圈 房子 ， 最后 看到 皇家塔 还 可以 申请 ， 就 发 邮件 申请 了 。,
557,车 是 自动 挡 automatic transmission 的 。,[4_5],[7],车 是 自动 挡 的 。,
558,价格 8200 $ ， cash only ， 当天 办理 title 转让 手续 。,[4_5_6_9],[2_3_6_12],价格 8200$ ， 只收现金 ， 当天 办理 台头 转让 手续 。,[8200]
559,帮忙 发 帖子 ~ 非常 好 的 房子 欢迎 联系 lease ： 7/14/2017 to 7/31/2018 .,[10_11_12_13_14_15],[3_11_15],帮忙 发 帖子 ~ 非常 好 的 房子 欢迎 联系 租房合同 ： 7/14/2017 至7/31/2018 .,
560,不过 这个 区域 是 不 太 适合 家庭 有 孩子 的 ， 我 在 state college 住 了 好 几 年 的 感觉 。,[14_15],[11_23],不过 这个 区域 是 不 太 适合 家庭 有 孩子 的 ， 我 在斯泰特克里奇【 住 了 好 几 年 的 感觉 。,
561,office 人 很 好 。,[0],[4],小区办公室,
562,出租 的 房间 是 二 层 两 个 bedroom 其中 的 一 间 。,[8],[13],出租 的 房间 是 二 层 两 个 卧室其中 的 一 间 。,
563,最好 是 男生 ， 如果 是 女生 需要 跟 另 一 个 男生 share 一 个 bathroom 。,[13_16_17],[3_17],最好 是 男生 ， 如果 是 女生 需要 跟 另 一 个 男生 共用一 个 卫生间。,
564,小区 提供 visitor parking 。,[2_3_4],[4],小区 提供 方可停车位 。,
565,还有 健身房 和 泳池 在 clubhouse 附近 。,[5],[7],还有 健身房 和 泳池 在 活动室 附近 。,
566,顺便 说 ： office 的 人 很 nice 的 ～,[3_7],[2_9],顺便 说 ： 官方办公室 的 人 很 好 的 ～、,
567,最近 找 房 看 了 一 圈 ， 表示 villas 往返 学校 的 交通 太 不 便利 了 ， 必须 得 有 车 ， 而且 客厅 和 房间 都 比较 小 。,[9],[7_18_23_31],最近 找 房 看 了 一 圈 ， 表示 独栋别墅返 学校 的 交通 太 不 便利 了 ， 必须 得 有 车 ， 而且 客厅 和 房间 都 比较 小 。,
568,可以 一起 租车 去 jfk ！,[4_5],[5],可以 一起 租车 去 肯尼迪机场！,
569,hi 同学 ， 你 找到 ride 了 吗 ？,[0_5],[2_8],你好同学，你找到搭车了吗。,
570,hi 同学 ， 你 找到 ride 了 吗 ？,[0_5],[2_8],你好同学，你找到搭车了吗。,
571,hi 同学 ， 你 找到 ride 了 吗 ？,[0_5],[2_8],你好同学，你找到搭车了吗。,
572,crest terrace 是 state college 性价比 最高 的 小区 。,[0_1_3_4],[9],克里斯特复式楼是 斯泰特克里奇 性价比 最高 的 小区 。,
573,hello 大家 好 ， 本人 男 ， 由于 新 apartment 要 到 8 .,[0_9],[3_6_13],嗨 大家 好 ， 本人 男 ， 由于 新 公寓要 到 8.,[8]
574,况且 park forest 这么 抢手 的 小区 不用 担心 租 不 出去 。,[1_2],[12],况且帕克克里斯特这么 抢手 的 小区 不用 担心 租 不 出去 。,
575,或者 有 定期 去 state college ymca 游泳 的 ， 可以 结伴 一起 。,[4_5_6],[9_13],或者 有 定期 去 斯泰特克里奇健身房 游泳 的 ， 可以 结伴 一起 。,
576,毕业 出售 full size mattress and box ， queen size box ， 饭桌 ， 学习 桌 ， 转椅 ， 立地 灯 ， 椅子 ， 儿童 自行车,[2_3_4_5_6_7_8_9_10_11],[7_11_13_16_18_21_23],毕业 出售 单人床床垫和盒子 ， 大床盒子 ， 饭桌 ， 学习 桌 ， 转椅 ， 立地 灯 ， 椅子 ， 儿童 自行车,
577,有的 小区 不 需要 permit ， 可以 直接 停 在 那里 吧,[4_5],[5],有的 小区 不 需要 停车牌 ， 可以 直接 停 在 那里 吧,
578,有的 小区 不 需要 permit ， 可以 直接 停 在 那里 吧,[4_5],[5],有的 小区 不 需要 停车牌 ， 可以 直接 停 在 那里 吧,
579,还有 club house ！,[1_2_3],[3],还有 活动室！,
580,（ 仅限 研究生 ） furnished !,[0_4_5],[0_3_5],（ 仅限 研究生 ） 带家具的！,
581,（ 禁止 吸烟 ） no pets !,[0_4_5_6],[0_3_6],（ 禁止 吸烟 ）禁止宠物!,
582,（ 不 能 养 宠物 ） not on a bus route !,[0_6_7_8_9_10_11],[0_5_11],（ 不 能 养 宠物 ） 不在公交车线上!,
583,（ 附近 没有 公交 站点 ） kitchen and bathroom are shared .,[0_6_7_8_9_10_11],[0_5_11],（ 附近 没有 公交 站点 ） 厨房和卫生间是共用的,
584,（ 共用 厨房 和 卫生间 ） in the house ， there are two other tenants and an owner .,[0_6_7_8_9_10_11_12_13_14_15_16_17_18],[0_5_9_18],（ 共用 厨房 和 卫生间 ） 房里有两个住户和一个房东,[owner]
585,更新 ： 已经 决定 坐 bus 了 ， 谢谢 大家 ！,[5],[1_7_10],更新 ： 已经 决定 坐 巴士 了 ， 谢谢 大家 ！,
586,因为 现在 租 的 房子 和 下 学年 的 房子 lease 之间 有 个 gap ， 大概 一 个 月 时间 ， 所以 希望 能 租 一 个 短期 的 房间 。,[10_14_15],[15_21_31],因为 现在 租 的 房子 和 下 学年 的 房子 租房合同之间 有 个空闲 ， 大概 一 个 月 时间 ， 所以 希望 能 租 一 个 短期 的 房间 。,
587,本人 男 ， 在 读 phd ， 对 具体 的 房间 没有 要求 ， 床 和 桌子 我 自己 也 可以 带 过去 ， 所以 只 希望 有 个 能 睡觉 的 房间 就 好 。,[5_6],[2_6_13_23_35],本人 男 ， 在 读 博士生， 对 具体 的 房间 没有 要求 ， 床 和 桌子 我 自己 也 可以 带 过去 ， 所以 只 希望 有 个 能 睡觉 的 房间 就 好 。,
588,printer / 打印机,[0_1],[1],打印机/ 打印机,
589,fan / 风扇,[0_1],[1],风扇/ 风扇,
590,vacuum cleaner / 吸尘器,[0_1_2],[2],吸尘器 / 吸尘器,
591,我 这里 有 一 个 copper beech 的 房子 。,[5_6],[9],我 这里 有 一 个库帕海滩小区的 房子 。,
592,hi ， 如 题 ， 往返 boston ， 6 .,[0_1_6_7_8_9],[1_4_7_9],嗨 ， 如 题 ， 往返波士顿 ， 6.,[6]
593,park crest terrace 是 state college 性价比 最高 的 小区 。,[0_1_2_4_5],[10],帕克克里斯特复式楼是 斯泰特克里奇 性价比 最高 的 小区 。,
594,beech 房子 ， 带 独立 卫生间 ， 拎包 入住 。,[0],[2_6_9],海滩小区 房子 ， 带 独立 卫生间 ， 拎包 入住 。,
595,位置 ： copper beech,[2_3],[1],位置 ：库帕海滩小区,
596,如有 需要 ， 请 联系 联系 方式 ： email ： em@16,[8_9_10],[2_7_9_10],如有 需要 ， 请 联系 联系 方式 ： 电子邮箱： em@16,
597,房东 是 杨 太太 ， 人 非常 nice 。,[7_8],[4_8],房东 是 杨 太太 ， 人 非常 好。,
598,房东 是 杨 太太 ， 人 非常 nice 。,[7_8],[4_8],房东 是 杨 太太 ， 人 非常 好。,
599,有 兴趣 租 fall semester .,[3_4_5],[5],有 兴趣 租 秋季学期,
600,二 楼 有 厨房 ， 餐厅 ， 客厅 ， 两 个 卧室 ， 浴室 ( full bath ) 。,[15_16_17_18],[4_6_8_12_14_17_18],二 楼 有 厨房 ， 餐厅 ， 客厅 ， 两 个 卧室 ， 浴室 ( 带浴缸的卫生间）,
601,leasing office 有 健身房 和 游泳池 。,[0_1],[6],租房办公室有 健身房 和 游泳池 。,
602,本人 在 penn state 做 博 后 。,[2_3],[7],本人 在 宾州州立做 博 后 。,
603,park forest apartment 的 两 室 一 厅 ， 时间 很 合适 ， 请 联系 我 ， 我 给 你 发 邮件 显示 错误 。,[0_1_2],[8_12_16_24],帕克森林小区 的 两 室 一 厅 ， 时间 很 合适 ， 请 联系 我 ， 我 给 你 发 邮件 显示 错误 。,
604,小区 在 w cherry ln ， 环境 很 好 ， 很 安静 ， 各 种 交通 通行 方便 。,[2_3_4_5],[5_9_12_18],小区 在西车厘巷 ， 环境 很 好 ， 很 安静 ， 各 种 交通 通行 方便 。,
605,两 层 ， 五 个 卧室 ， 两 个 full 卫生间 ( 都 有 浴缸 ) 。,[9],[2_6_11_15_16],两 层 ， 五 个 卧室 ， 两 个 大的卫生间 ( 都 有 浴缸 ) 。,
606,group lease 可以 优惠 。,[0_1],[4],组团签租房合同 可以 优惠 。,
607,我 最近 还 开车 去 了 趟 华盛顿 和 pittsburgh .,[9_10],[10],我 最近 还 开车 去 了 趟 华盛顿 和 皮茨堡.,
608,还 有 一些 台灯 啥 的 ～ free,[7],[6],还 有 一些 台灯 啥 的 ～ 免费,
609,小区 有 健身房 ， bus 卡 。,[4],[3_6],小区 有 健身房 ， 公交卡 。,
610,希望 男生 phd 入住 。,[2],[4],希望 男生博士生 入住 。,
611,update : 已 出租 至 九月 末 。,[0_1],[1_7],更新 : 已 出租 至 九月 末 。,
612,小区 门口 就 有 bus ， 却 学校 方便 。,[4_5],[5_9],小区 门口 就 有公交 ， 却 学校 方便 。,
613,方便 提供 ride 的 同学 ， 请 联系 电话 pn-6 ， 感谢 ！,[2],[5_9_10_12],方便 提供 搭车的 同学 ， 请 联系 电话 pn-6 ， 感谢 ！,
614,欢迎 站 内 信 或 email ： em@17,[5_6_7],[6_7],欢迎 站 内 信电子邮箱 ： em@17,
615,二 楼 living room （ 带 一 个 卫生间 ） ， kitchen ， dining room 。,[2_3_4_11_12_13_14_15],[4_9_10_12_15],二 楼 客厅 （ 带 一 个 卫生间 ） ， 厨房， 餐厅,
616,有意 向 者 ， 请 发 英文 简历 （ resume ） 及 职位 申请书 （ cover letter ） 到,[9_10_15_16_17],[3_8_10_14_17],有意 向 者 ， 请 发 英文 简历 及 职位 申请书 到,
617,college court 一 室 一 厅 ， 家具 ， 水 ， 电 ， 网 ， 全 包 ： $690 / month ， 六月 中旬 拎包 入住 。,[0_1_20_21],[6_8_10_12_14_17_19_21_26],大学场 一 室 一 厅 ， 家具 ， 水 ， 电 ， 网 ， 全 包 ： $690 / 月 ， 六月 中旬 拎包 入住 。,
618,打包 free ！,[1_2],[2],打包免费！,
619,拍照 free !,[1_2],[2],拍照免费！,
620,具体 联系 方式 : email : em@18,[4_5_6],[3_5_6],具体 联系 方式 em@19,
621,小区 有 自己 的 住户 网站 ， 所有 request 都 可以 在 网上 完成 ， 或者 打 电话 。,[8],[6_14_18],小区 有 自己 的 住户 网站 ， 所有要求 都 可以 在 网上 完成 ， 或者 打 电话 。,
622,入住 时间 是 年 ， lease 的 期限 是 一 年 到 。,[5],[4_12],入住 时间 是 年 ，租房合同的 期限 是 一 年 到 。,
623,为了 证明 本 帖 不 是 骗子 ， 我们 可以 给 有 兴趣 的 同学 看 lease 文件 ( x2 ： 我 的 和 要 转 的 同学 的 ) ， 成交 之后 的 社区 网络 账号 啥 的 也 都 会 转交 给 你 。,[16_19_20],[7_18_20_29_30_45],为了 证明 本 帖 不 是 骗子 ， 我们 可以 给 有 兴趣 的 同学 看 租房合同 文件 ( 两份： 我 的 和 要 转 的 同学 的 ) ， 成交 之后 的 社区 网络 账号 啥 的 也 都 会 转交 给 你 。,
624,二 楼 living room （ 带 一 个 卫生间 ） ， kitchen ， dining room 。,[2_3_4_11_12_13_14_15],[4_9_10_12_15],二 楼 客厅 （ 带 一 个 卫生间 ） ， 厨房，餐厅,
625,伦敦 furniture and household goods 低价 转让 ， 部 .,[1_2_3_4],[7_9],伦敦 家具和家务用具 低价 转让 ， 部.,[部]
626,全 真 mock interviews,[2_3],,全 真模拟面试,
627,简历 修改 ， 建立 职业 profile,[5],[2],简历 修改 ， 建立 职业 文件,
628,全 真 mock interviews,[2_3],,全 真模拟面试,
629,简历 修改 ， 建立 职业 profile,[5],[2],简历 修改 ， 建立 职业 文件,
630,要求 安静 ， 安静 ， 安静 不 开 party ， 干净 。,[8_9],[2_4_9_11],要求 安静 ， 安静 ， 安静 不 开 派对， 干净 。,
631,house 和 apartment 都 可以 。,[0_2],[5],独栋房 和公寓 都 可以 。,
632,你 好 ， 你 是 penn state great valley school of graduate professional studies 的 吗 ？,[5_6_7_8_9_10_11_12_13],[2_16],你好，你是宾州州立职业学研究院的大峡谷学校的吗,
633,queen size 床 一 个 。,[0_1],[5],一米五宽床 一 个 。,
634,mattress ， box spring ， bed frame 三 样 都 齐全 。,[0_1_2_3_4_5_6],[1_4_11],床垫，席梦思，床架 三 样 都 齐全 。,
635,the pointe 其中 一 间 最大 暑假 短 租 房间 带 家具 拎包 入住 。,[0_1],[14],破音特小区 其中 一 间 最大 暑假 短 租 房间 带 家具 拎包 入住 。,
636,不 养 宠物 ， 不 开 party,[6],[3],不 养 宠物 ， 不 开 派对,
637,租房 时 没 注意 ， 发现 orientation 比 lease 要 早 一 周 ， 所以 找 一 个 带 独立 卫浴 的 房间 过渡 这 一 周 。,[6_8],[4_13_27],租房 时 没 注意 ， 发现 新生会比 租房合同要 早 一 周 ， 所以 找 一 个 带 独立 卫浴 的 房间 过渡 这 一 周 。,
638,所有 保养 均 在 nissan dealer ， 车况 良好 。,[4_5_6],[6_9],所有 保养 均 在 尼桑保养 ， 车况 良好,
639,一 楼 living room ， kitchen ， dining room ， 一 个 卫生间 .,[2_3_4_5_6_7_8_9],[4_6_9_13],一 楼 客厅，厨房，餐厅， 一 个 卫生间,
640,可 步行 去 各 种 超市 如 giant ，,[7_8],[8],可 步行 去 各 种 超市 如 伟大超市,
641,一 个 大 箱子 ， 求 ride ！,[6_7],[4_7],一 个 大 箱子 ， 求 搭车,
642,希望 全 是 女生 roommates 。,[4_5],[5],希望 全 是 女生 室友。,
643,office 人 很 好 。,[0],[4],办公室 人 很 好 。,
644,目前 针对 学生 需要 打包 用 的 箱子 全部 free 哦 ！,[9],[11],目前 针对 学生 需要 打包 用 的 箱子 全部免费 哦 ！,
645,打包 free ！,[1_2],[2],打包免费！,
646,拍照 free !,[1_2],[2],拍照免费！,
647,小区 提供 visitor parking 。,[2_3_4],[4],小区 提供 访客停车位。,
648,如果 我 签 一 年 的 合同 ， 是 和 你 签 还是 和 officer 签 。,[14],[7_16],如果 我 签 一 年 的 合同 ， 是 和 你 签 还是 和办公室 签 。,
649,提供 ride ， 5 .,[1_2_3_4],[2_4],提供 搭车 ， 5.,[5]
650,因为 本人 要 参加 一 个 summer institute ， 所以 将 自己 的 卧室 短 租 出去 一 个 半 月 ， 有 家具 。,[6_7_8],[8_21_24],因为 本人 要 参加 一 个 夏校 ， 所以 将 自己 的 卧室 短 租 出去 一 个 半 月 ， 有 家具 。,
651,来 state college 将近 一 年 时间 ， 考察 了 多个 小区 以后 选中 the view 小区 。,[1_2_14_15],[7_17],来 斯泰特克里奇将近 一 年 时间 ， 考察 了 多个 小区 以后 选中 唯有小区 。,
652,二 层 是 三 间 卧室 和 两 个 full bathrooms 。,[9_10_11],[11],二 层 是 三 间 卧室 和 两 个 全套卫生间 。,
653,最好 能 在 stratford dr .,[3_4_5],[5],最好 能 在 斯特赖特福德路,
654,安静 、 不 开 party 、 作息 规律 。,[4_5],[1_5_8],安静 、 不 开 派对 、 作息 规律 。,
655,或 email ： em@20,[1_2_3],[2_3],或邮箱 ： em@20,
656,求 ride 去 纽约 ！,[1],[4],求 搭车去 纽约 ！,
657,bus 要 十 多 分钟,[0],,公交要 十 多 分钟,
658,房屋 北面 是 orchard park 公园 。,[3_4],[6],房屋 北面 是 奥卡德公园 。,
659,全新 lease 8/5/2017-7/31/2018 。,[1_2_3],[3],全新租房合同8/5/2017-7/31/2018 。,
660,转 bus pass，$45 有效期 至 june 30/2017 站 短,[1_2_5_6],,转公交卡，$45 有效期 至 六月30/2017 站 短,
661,目前 针对 学生 需要 打包 用 的 箱子 全部 free 哦 ！,[9],[11],目前 针对 学生 需要 打包 用 的 箱子 全部 免费哦 ！,
662,所以 这些 东西 全部 都 送给 要 续签 这个 lease 的 人 。,[9],[12],所以 这些 东西 全部 都 送给 要 续签 这个租房合同 的 人 。,
663,目前 下 学期 貌似 copper beech 会 安排 两 个 男生 过来 。,[4_5],[12],目前 下 学期 貌似 库帕海滩小区 会 安排 两 个 男生 过来 。,
664,group lease 可以 优惠 。,[0_1],[4],组团租房合同 可以 优惠 。,
665,已经 有 一 位 可以 加入 group lease .,[6_7_8],[8],已经 有 一 位 可以 加入 组团租房合同.,
666,有意 向 者 ， 请 发 英文 简历 （ resume ） 及 职位 申请书 （ cover letter ） 到,[9_10_15_16_17],[3_8_10_14_17],有意 向 者 ， 请 发 英文 简历及 职位 申请书到,
667,该 房子 位于 parkway plaza 小区 的 logan house ， 性价比 极高 。,[3_4_7_8_9],[9_12],该 房子 位于 花园路广场 小区 的罗根房 ， 性价比 极高 。,
668,小区 概况 ： 该 小区 在 penn state 南边 ， 生活 和 学习 都 很 方便 ， 而且 ， 小区 非常 安全 。,[6_7],[2_9_16_18_22],小区 概况 ： 该 小区 在宾州州立 南边 ， 生活 和 学习 都 很 方便 ， 而且 ， 小区 非常 安全 。,
669,药店 ： rite aid pharmacy ；,[2_3_4_5],[1_5],药店 ： 莱特救援药店,
670,你 好 ， 我 认识 一 个 姐姐 是 这里 的 real estate agent ， 你 可以 联系 她 看看 。,[11_12_13_14],[2_14_20],莱尔房地产中介,
671,房间 很 大 ， 每 个 人 独立 的 bedroom 和 bathroom ， utility 基本 全 包 ， furnished ， 免费 停车 。,[9_11_12_13_18_19],[3_12_17_19_22],房间 很 大 ， 每 个 人 独立 的 卧室和所 ，公共设施 基本 全 包 ，带家具 ， 免费 停车 。,
672,离 学校 很 近 ， 有 bus pass 。,[6_7_8],[4_8],离 学校 很 近 ， 有 公交卡,
673,king size 的 床 。,[0_1],[4],超大的 床 。,
674,我们 move out 前 会 把 一切 打扫 干净 ， 各 种 家具 齐全 可 拎包 入 ！,[1_2],[9_17],我们搬走前 会 把 一切 打扫 干净 ， 各 种 家具 齐全 可 拎包 入 ！,
675,the pointe 四 人间 其中 的 一 间 ， 独立 卫浴 ， 非常 隐私 。,[0_1],[8_11_14],破音特小区 四 人间 其中 的 一 间 ， 独立 卫浴 ， 非常 隐私 。,
676,在 lion's gate apartment,[2_3],,在 狮子门公寓,
677,从 state college 去 纽约,[1_2],,从斯泰特克里奇去 纽约,
678,无 party 嗜好 。,[1],[3],无派对嗜好。,
679,我 的 email em@21,[2_3],[3],我 的邮箱 em@21,
680,房东 超 nice ！,[2_3],[3],房东超好!,
681,二 楼 两 间 卧室 ， 独立 卫浴 ， 其中 一 间 有 walk-in closet ， 洗手 间 有 closet 。,[13_14_15_19_20],[5_8_15_20],二 楼 两 间 卧室 ， 独立 卫浴 ， 其中 一 间 有 可走进的衣橱 ， 洗手 间 有 橱柜。,
682,二 楼 还 有 shoe closet for share 。,[4_5_6_7_8],[8],二 楼 还 有 共用的鞋柜 。,
683,bus pass 包含 在 房租 里 。,[0_1],[6],公交卡包含 在 房租 里 。,
684,bus 可 到 东方 超市 和 韩国 超市 。,[0],[8],公交车 可 到 东方 超市 和 韩国 超市 。,
