SentenceID,CodeSwitchedSentence,TranslatedSentence,UntranslatedWord,IndicesOfCodeSwitchedWord,IndicesOfCodeSwitchedWordInTranslation,IndicesOfPunctuation,IndicesOfPunctuationInTranslation
CMU_1912,在 国内 有 驾照 ， 打算 租车 去 考试 ， 因为 是 permit 上路 开 所以 需要 有 驾照 的 同学 陪同 ， 请 电话 或 短信 联系 pn-52 ， 谢谢 ！,在 国内 有 驾照 ， 打算 租车 去 考试 ， 因为 是 停车 证 上路 开 所以 需要 有 驾照 的 同学 陪同 ， 请 电话 或 短信 联系 pn-52 ， 谢谢 ！,[],[12],[12_13],[4_9_22_28_29_31],[4_9_23_29_30_32]
CMU_1913,找 family plan 有 空位 的 join ， 或者 现在 还 没有 想要 签 family plan 的 同学 一 起 联系 方式 ： em@140,找 家庭 套餐 有 空位 的 加入 ， 或者 现在 还 没有 想要 签 家庭 套餐 的 同学 一 起 联系 方式 ： em@140,[],[1_2_6_7_14_15],[1_2_6_7_14_15],[7_22_23],[7_22_23]
CMU_189,有 小 路 可以 快速 通向 forbes 上 各 种 饭店 。,有 小路 可以 快速 通向 福布斯 榜单 上 各 种 饭店 。,[],[6],[1_5_6],[11],[11]
CMU_234,房子 位 于 greenfield ， 非常 安静 ， 新 装修 ， 电器 也 都 是 全新 的 。,房子 位于 绿地 ， 非常 安静 ， 新 装修 ， 电器 也 都 是 全新 的 。,[],[3_4],[1_2_3],[4_7_10_17],[3_6_9_16]
CMU_272,mason tower 两 室 一 厅 中 的 客厅 招租 ， 八月 底 开始 ！,曼森 塔 两 室 一 厅 中 的 客厅 招租 ， 八月 底 开始 ！,[],[0_1],[0_1],[10_14],[10_14]
CMU_274,卧室 是 ece 妹子 ， 性格 开朗 易 相处 ， 欢迎 咨询,卧室 是 电子 和 计算机 工程 专业 妹子 ， 性格 开朗 易 相处 ， 欢迎 咨询,[],[2],[2_3_4_5_6],[4_9],[8_13]
CMU_275,请 问 你们 什么 时候 毕业 ， 我 也 是 ece 的 ， 想 租 17-18 学年 ， 女生,请 问 你们 什么 时候 毕业 ， 我 也 是 电子 和 计算机 工程 的 ， 想 租 17-18 学年 ， 女生,[],[10],[10_11_12_13],[6_12_17],[6_15_18_20]
CMU_280,交通 极 便利 ， forbes 上 几乎 所有 最 主要 的 公交 线路 都 直接 从 门口 经过 。,交通 极 便利 ， 福布斯 上 几乎 所有 最 主要 的 公交 线路 都 直接 从 门口 经过 。,[],[4],[4],[3_18],[3_18]
CMU_298,走到 duquesne 大学 非常 近 。,走到 迪尤肯 大学 非常 近 。,[],[1],[1],[5],[5]
CMU_306,离 craig 上 各 种 餐厅 一 步 之 遥 。,离 克莱格 上 各 种 餐厅 一 步 之 遥 。,[],[1],[1],[10],[10]
CMU_317,公司 是 john cr kelly realty inc 。,公司 是 johncrkelly 房地产 有限 公司 。,[],[2_3_4_5_6_7],[2_3_4],[7],[6]
CMU_318,目前 客厅 住 的 是 ece 的 phd ， 人 非常 好 也 很 安静 。,目前 客厅 住 的 是 电子 与 计算机 工程 的 博士 研究生 ， 人 非常 好 也 很 安静 。,[],[5_7_8],[5_6_7_8_10_11_12],[8_15],[12_19]
CMU_331,名称 ： aberdeen apartment .,名称 ： 阿 贝尔丁 公寓 。,[],[2_3_4],[2_3_4_5],[1_4],[1_5]
CMU_347,请 大家 直接 去 联系 mozart 公司 ， 公司 联系 方式 是 pn-6 ， em@21,请 大家 直接 去 联系 莫扎特 物业 公司 ， 公司 联系 方式 是 pn-6 ， em@21,[],[5],[5_6],[7_12_13_14],[8_13_14_15]
CMU_348,我们 都 是 匹 大学生 ， 租房 请 直接 联系 mozart 。,我们 都 是 匹 大学生 ， 租房 请 直接 联系 莫扎特 物业 。,[],[10_11],[10_11_12],[5_11],[5_12]
CMU_360,地处 bloomfield little italy 。,地处 花开 之 地 小 意大利 。,[],[1_2_3_4],[1_2_3_4_5_6],[4],[6]
CMU_365,公寓 旁边 mellon park ， 周末 锻炼 休闲 的 好 去处 。,公寓 旁边 梅伦 公园 ， 周末 锻炼 休闲 的 好 去处 。,[],[2_3_4],[2_3_4],[4_11],[4_11]
CMU_367,我 有 一 个 房子 出租 ， 坐落 在 greenfield 。,我 有 一 个 房子 出租 ， 坐落 在 绿地 。,[],[9_10],[9_10],[6_10],[6_10]
CMU_371,在 highland park 附近 。,在 高地 公园 附近 。,[],[1_2],[1_2],[4],[4]
CMU_383,college garden 公寓 属于 pitt 学校 资产 并由 学校 负责 管理 与 维护 。,大学 花园 公寓 属于 匹兹堡 学校 资产 并由 学校 负责 管理 与 维护 。,[],[0_1_4],[0_1_4],[13],[13]
CMU_389,求 在 此 期间 一 周 短 租 ， 最 好在 squirrel hill/shadyside 地区 。,求 在 此 期间 一 周 短 租 ， 最 好在 松鼠山 或 沙 地区 。,[],[11_12],[11_12_13],[8_14],[8_15]
CMU_393,地处 squirrel hill 中心 地带 ， 但 非常 安静 。,地处 松鼠山 中心 地带 ， 但 非常 安静 。,[],[1_2],[1],[5_9],[4_8]
CMU_396,希望 房子 是 在 squirrel hill 或者 greenfield ， 其他 地方 也 可以 考虑 。,希望 房子 是 在 松鼠山 或者 绿地 ， 其他 地方 也 可以 考虑 。,[],[4_5_7_8],[4_6_7],[8_14],[7_13]
CMU_408,现有 northumberland house 一 枚 ， 5b/3b ， 暑期 出租 。,现有 诺桑 比 地 整 套 房子 一 枚 ， 5b/3b ， 暑期 出租 。,[],[1_2],[1_2_3_4_5_6],[5_7_10],[9_10_11_14]
CMU_442,距离 murry 上 的 餐馆 、 超市 都 是 步行 的 距离 。,距离 梅瑞 大道 上 的 餐馆 、 超市 都 是 步行 的 距离 。,[],[1],[1_2],[5_12],[6_13]
CMU_447,公寓 may flower 是 匹 大学 校 的 房子 ， 主要 是 提供 给 研究生 的 ， 价钱 比 商业 公寓 便宜 。,公寓 五月花 是 匹 大学 校 的 房子 ， 主要 是 提供 给 研究生 的 ， 价钱 比 商业 公寓 便宜 。,[],[1_2],[1],[9_16_22],[8_15_21]
CMU_468,咨询 顾问 ： andy,咨询 顾问 ： 安迪,[],[3],[3],[2],[2]
CMU_471,在 forbes 附近 。,在 福布斯 附近 。,[],[1],[1],[3],[3]
CMU_472,大家 好 ， 本人 phd 男生 ， 无 不良 嗜好 。,大家 好 ， 本人 博士 研究生 在读 ， 男生 ， 无 不良 嗜好 。,[],[4],[4_5_6_7],[2_6_10],[2_7_9_13]
CMU_483,pdf 如果 感兴趣 请 联系 : em@31,（ 电子 文档 ） 如果 感兴趣 请 联系 : em@31,[],[0],[0_1_2_3],[5_6],[0_3_8_9]
CMU_495,地处 squirrel hill 偏 北部 的 富人 区 ， 非常 安全 和 安静 。,地处 松鼠山偏 北部 的 富人 区 ， 非常 安全 和 安静 。,[],[1_2],[1],[8_13],[6_11]
CMU_498,旁边 有 murray ， 有 很多 餐厅 。,旁边 有 梅瑞 大道 ， 有 很多 餐厅 。,[],[2_3],[2_3_4],[3_7],[4_8]
CMU_507,公寓 的 侧面 是 租车 公司 herz ， 便于 租车 旅行 。,公寓 的 侧面 是 租车 公司 赫尔兹 ， 便于 租车 旅行 。,[],[6_7],[6_7],[7_11],[7_11]
CMU_536,周边 环境 ： greenfield 的 住户 基本上 是 白人 为主 ， 非常 安全 ， 适合 喜欢 安静 环境 的 同学 。,周边 环境 ： 绿地 的 住户 基本上 是 白人 为主 ， 非常 安全 ， 适合 喜欢 安静 环境 的 同学 。,[],[3],[3],[2_10_13_20],[2_10_13_20]
CMU_550,squirrel hill 松鼠 山 好 房 出租 ！,松鼠山 松鼠 山 好 房 出租 ！,[],[0_1],[0],[7],[6]
CMU_571,从 客厅 可以 看到 frick park ， 景色 不错 。,从 客厅 可以 看到 福瑞克 公园 ， 景色 不错 。,[],[4_5_6],[4_5_6],[6_9],[6_9]
CMU_588,人 在 pittsburgh 的 话 可以 来看 房 。,人 在 匹兹堡 的话 可以 来看房 。,[],[2],[2_3_5_6],[8],[6]
CMU_595,附近 还 有 一 个 特别 大 的 森林 公园 ， 叫 frick park ， 我 夏天 经常 到 那里 去 和 朋友 散步 ， 也 在 大 草坪 上 飞 遥控 飞机 。,附近 还 有 一 个 特别 大 的 森林 公园 ， 叫 福瑞克 公园 ， 我 夏天 经常 到 那里 去 和 朋友 散步 ， 也 在 大 草坪 上 飞 遥控 飞机 。,[],[12_13_14],[12],[10_14_24_33],[10_14_24_33]
CMU_623,greenfield 好 房 短 租 。,绿地 好 房 短 租 。,[],[0],[0],[5],[5]
CMU_632,地点 ： 可 google map ， 小区 位 于 非 主 干道 ， 安静 。,地点 ： 可 用 谷歌 地图 ， 小 区位 于 非 主 干道 ， 安静 。,[],[3_4_5],[3_4_5_6_7_8],[1_5_12_14],[1_6_13_15]
CMU_637,本人 女生 ， 匹 大 mater 毕业 ， 在 匹兹堡 工作 。,本人 女生 ， 匹 大 硕士 毕业 ， 在 匹兹堡 工作 。,[],[5],[5],[2_7_11],[2_7_11]
CMU_639,地点 最 好在 squirrel hill ( 也 可以 是 别的 地方 ） 。,地点 最 好在 松鼠山 ( 也 可以 是 别的 地方 ） 。,[],[3_4_5],[3_4],[5_11_12],[4_10_11]
CMU_643,university center 操场 旁边 。,学校 中心 操场 旁边 。,[],[0_1],[0_1],[4],[4]
CMU_652,（ forbes 上 有 61a，61 b 车站 。,（ 福布斯 上 有 61a，61 b 车站 。,[b],[0_1_5],[0_1_5],[0_7],[0_4_7]
CMU_663,对于 不 在 pittsburgh 的 ， 我 有 时间 之后 就 拍照 之后 集中 发给 你们 。,对于 不 在 匹兹堡 的 ， 我 有 时间 之后 就 拍照 之后 集中 发给 你们 。,[],[3],[3],[5_16],[5_16]
CMU_665,路口 有 carnegie 图书馆 ， 学习 方便 。,路口 有 卡内基 图书馆 ， 学习 方便 。,[],[2],[2],[4_7],[4_7]
CMU_666,走到 murry 上 还 有 更 多 选择 。,走到 梅瑞 大道 上 还有 更 多 选择 。,[],[1],[1_2_4],[8],[8]
CMU_682,治安 ： squirrel hill 的 治安 一直 非常 好 ， 我们 一 年 下来 经常 半夜 回家 也 没有 遇到 什么 特别 的 事情 。,治安 ： 松鼠山 的 治安 一直 非常 好 ， 我们 一 年 下来 经常 半夜 回家 也 没有 遇到 什么 特别 的 事情 。,[],[2_3],[2],[1_9_24],[1_8_23]
CMU_712,阳台 景观 非常 好 ， 是 周围 最 高 的 房子 ， 可以 看到 cathedral of learning 。,阳台 景观 非常 好 ， 是 周围 最 高 的 房子 ， 可以 看到 求知堂 。,[],[14_15_16_17],[14_15],[4_11_17],[4_11_15]
CMU_721,周围 有 各 式 餐馆 ， target 就 在 附近 。,周围 有 各 式 餐馆 ， 塔吉特 就 在 附近 。,[],[6],[6],[5_10],[5_10]
CMU_731,周边 ： 走到 murry 上 只 需 七八 分钟 ， 有 各 种 吃喝 。,周边 ： 走到 梅瑞 大道 上 只 需 七八 分钟 ， 有 各 种 吃喝 。,[],[3],[3_4],[1_9_14],[1_10_15]
CMU_735,在 nicholson 上 。,在 尼克森 上 。,[],[1],[1],[3],[3]
CMU_739,morrow field apartment ， 公寓 环境 很 好 ， 物业 服务 周到 。,莫罗菲尔德 公寓 ， 公寓 环境 很 好 ， 物业 服务 周到 。,[],[0_1_2_3],[0],[3_8_12],[2_7_11]
CMU_740,位 于 murray 大道 上 ， 各 种 餐馆 和 小店 都 有 。,位于 梅瑞 大道 上 ， 各 种 餐馆 和 小店 都 有 。,[],[2],[0_1],[5_13],[4_12]
CMU_755,地理 位置 上 可以 说 是 squirrel hill 地区 最好 的 了 。,地理 位置 上 可以 说 是 松鼠山 地区 最好 的 了 。,[],[6_7],[6],[12],[11]
CMU_759,到 gates building 大约 3-4 分钟 。,到 盖兹 大楼 大约 3-4 分钟 。,[],[1_2],[1_2],[6],[4_6]
CMU_764,周边 环境 ： 地理 位置 上 可以 说 是 squirrel hill 地区 最好 的 了 。,周边 环境 ： 地理 位置 上 可以 说 是 松鼠山 地区 最好 的 了 。,[],[9_10],[9],[2_15],[2_14]
CMU_795,隔 一 条 街 有 在 south craig 上 有 各 种 餐馆 。,隔 一 条 街 有 在 南克莱德 上 有 各 种 餐馆 。,[],[6_7],[6],[13],[12]
CMU_796,住 这个 区域 ， 小孩 可以 上 colfax 的 学校 ， 很多 交流 访问 学者 专门 把 小孩 送到 这个 学校 。,住 这个 区域 ， 小孩 可以 上 寇法克斯 的 学校 ， 很多 交流 访问 学者 专门 把 小孩 送到 这个 学校 。,[],[7],[7],[3_10_21],[3_10_21]
CMU_798,位置 非常 好 ， 距离 murray av .,位置 非常 好 ， 距离 梅瑞 大道 。,[],[5_6_7],[5_6_7],[3_7],[3_7]
CMU_804,地点 在 松鼠 山 ， northumberland 上 ， 离 超市 和 公交 车站 都 非常 近 。,地点 在 松鼠山 ， 诺森伯兰 上 ， 离 超市 和 公交 车站 都 非常 近 。,[],[5],[2_3_4],[4_7_16],[3_6_15]
CMU_805,房子 离 学校 很 近 ， 可以 在 google map 看到 。,房子 离 学校 很 近 ， 可以 在 谷歌 地图 看到 。,[],[8_9],[8_9],[5_11],[5_11]
CMU_839,周围 是 squirrel hill 偏 北部 的 富人 区 ， 非常 安全 和 安静 。,周围 松鼠山偏 北部 的 富人 区 ， 非常 安全 和 安静 。,[],[2_3],[1],[9_14],[6_11]
CMU_854,shady and darlington 客厅 出租 。,采光 不 好 客厅 出租 。,[],[0_1_2],[0_1_2],[5],[5]
CMU_905,如果 在 阳台 可以 看到 university center 旁边 的 操场 。,如果 在 阳台 可以 看到 大学 中心 旁边 的 操场 。,[],[5_6],[5_6],[10],[10]
CMU_927,现 一 卧室 住 pitt 本科 女生 ， 另 一 卧室 住 pitt phd 男生 。,现 一 卧室 住 匹兹堡 本科 女生 ， 另 一 卧室 住 匹兹堡 在读 博士生 男生 。,[],[4_12_13],[4_12_13_14],[7_15],[7_16]
CMU_940,暑假 要 来 pittsburgh 实习 ， 从 5 .,暑假 要 来 匹兹堡 实习 ， 从 5 。,[],[3],[3_7_8],[5_8],[5_8]
CMU_941,本人 是 cfa 的 研究生 ， 项目 为 一 年 半 。,本人 是 大学 名称 的 研究生 ， 项目 为 一 年 半 。,[],[2],[2_3],[5_11],[6_12]
CMU_972,g1dfa4c7c0_03 是 google drive 共享 ， 请 放心 浏览 。,g1dfa4c7c0_03 是 谷歌 硬盘 共享 ， 请 放心 浏览 。,[],[0_2_3],[0_2_3],[5_9],[0_5_9]
CMU_1016,就读 pitt mse 。,就读 匹兹堡 mse 专业 。,[mse],[1_2_3],[1_2_3_4],[3],[4]
CMU_1035,具体 请 google 之 。,具体 请 谷歌 之 。,[],[2],[2],[4],[4]
CMU_1039,于是 google 了 一下 ， 发现 是 个 骗子 。,于是 谷歌 了 一下 ， 发现 是 个 骗子 。,[],[1],[1],[4_9],[4_9]
CMU_1048,环境 舒适 ： squirrel hill 是 pittsburgh 最 安全 的 一 个 区 ， 大部分 是 留学生 ， 晚上 非常 安静 。,环境 舒适 ： 松鼠山 匹兹堡 最 安全 的 一 个 区 ， 大部分 是 留学生 ， 晚上 非常 安静 。,[],[3_4_6],[3_4],[2_13_17_21],[2_11_15_19]
CMU_1052,我 在 n neville 。,我 在 南 内 伟业街 。,[],[2_3_4],[2_3_4_5],[4],[5]
CMU_1053,devonshire apartment 一 厅 一 室 。,德文郡 公寓 一 厅 一 室 。,[],[0_1],[0_1],[6],[6]
CMU_1063,这个 价格 加上 补贴 之后 非常 划算 ， 在 sq hill 你 找 不 到 性价比 更 高 的 了 ！,这个 价格 加上 补贴 之后 非常 划算 ， 在 松鼠山 你 找 不 到 性价比 更 高 的 了 ！,[],[9_10],[9],[7_20],[7_19]
CMU_1065,房产 公司 为 rockwell realty ， 是 pittsburgh 一 家 较为 出名 的 房产 公司 ， 管理 完善 服务 到位 。,房产 公司 为真 岩石 ， 是 匹兹堡 一 家 较为 出名 的 房产 公司 ， 管理 完善 服务 到位 。,[],[3_4_5_7],[2_3_4_6],[5_15_20],[4_14_19]
CMU_1074,由于 本人 年底 毕业 要 搬家 ， 现出 租 squirrel hill house 里 的 一 间 卧室 。,由于 本人 年底 毕业 要 搬家 ， 现出 松鼠山 房子 里 的 一 间 卧室 。,[],[9_10_11],[8_9],[6_17],[6_15]
CMU_1076,位 于 north neville 和 bayard 路口 附近 ， 有 遮挡 客厅 。,位于 北 内维尔 和 巴亚德 路口 附近 ， 有 遮挡 客厅 。,[],[2_3_5],[0_1_2_4],[8_12],[7_11]
CMU_1086,king edward 客厅 出租 。,皇 爱德华 德 客厅 出租 。,[],[0_1],[0_1_2],[4],[5]
CMU_1105,我 的 是 cit 通用 的 s 码 硕士 服 ， 强烈 建议 cit 明年 毕业 的 同学 买 。,我的 是 大学 名称 通用 的 小 号码 硕士 服 ， 强烈 建议 大学 名 明年 毕业 的 同学 买 。,[],[3_6_13],[0_2_3_6_7_13_14],[10_19],[10_20]
CMU_1114,走到 murray 上 即 可 享受 各 种 中餐 美食 。,走到 穆勒 上 即 可 享受 各 种 中餐 美食 。,[],[1],[1],[10],[10]
CMU_1125,卫生间 是 mozart 公司 刚 粉刷 过 的 ， 很 新 。,卫生间 是 莫扎特 公司 刚 粉刷 过 的 ， 很 新 。,[],[2],[2],[8_11],[8_11]
CMU_1150,地点 在 douglas and murray ， 地点 非常 好 。,地点 在 道格拉斯 和 穆勒 ， 地点 非常 好 。,[],[2_3_4_5],[2_3_4_5],[5_9],[5_9]
CMU_1163,cohen ， 邮箱 em@67,科恩 ， 邮箱 em@67,[],[0_1],[0_1],[1_3],[1_3]
CMU_1170,在 此 居住 的 小孩 ， 就读 当地 非常 好 的 colfax 小学 。,在 此 居住 的 小孩 ， 就读 当地 非常 好 的 科菲 克斯 小学 。,[],[11],[11_12],[5_13],[5_14]
CMU_1183,很 好 的 linden 小 校 .,很 好 的 林登 小校 。,[],[3],[3_4_5],[6],[5]
CMU_1188,squirrel hill hobart&wightman 公寓 的 超大 客厅 招租 。,松鼠山 公寓 的 超大 客厅 招租 。,[],[0_1_2],[0],[8],[6]
CMU_1205,college garden 属于 学校 房产 ， 周围 治安 良好 ， 非常 安全 。,大学 花园 属于 学校 房产 ， 周围 治安 良好 ， 非常 安全 。,[],[0_1],[0_1],[5_9_12],[5_9_12]
CMU_1221,现 住 两 人 均 为 匹 大 的 phd ， 女生 ， 希望 能 保持 环境 安静 、 整洁 。,现 住 两 人 均 为 匹 大 的 博士 ， 女生 ， 希望 能 保持 环境 安静 、 整洁 。,[],[9_10],[9_10],[10_12_18_20],[10_12_18_20]
CMU_1264,paul 教堂 。,保罗 教堂 。,[],[0],[0],[2],[2]
CMU_1265,公司 ： empire associates .,公司 ： 帝国 公司 。,[],[2_3_4],[2],[1_4],[1_4]
CMU_1266,公寓 ： cathedral mansion 宠物 ： 管理 公司 不 允许 呀 。,公寓 ： 公寓 名 宠物 ： 管理 公司 不 允许 呀 。,[],[2_3],[3],[1_5_11],[1_5_11]
CMU_1288,周围 还 有 herts 租车 ， 还 车 点 。,周围 还有 租车 公司 租车 ， 还 车 点 。,[],[3],[1_3],[5_9],[5_9]
CMU_1294,可以 google 地图 一下 ， 地理 位置 真的 超 好 。,可以 谷歌 地图 一下 ， 地理 位置 真的 超 好 。,[],[1],[1],[4_10],[4_10]
CMU_1297,房子 位于 全 匹 最 安全 的 squirrel hill .,房子 位于 全 匹 最 安全 的 松鼠山 。,[],[7_8_9],[7_8],[9],[8]
CMU_1305,公寓 位 于 college garden ， 属于 匹 大 房产 ， 环境 安全 。,公寓 位于 大学 花园 ， 属于 匹 大 房产 ， 环境 安全 。,[],[3_4_5],[1_2_3_4],[5_10_13],[4_9_12]
CMU_1316,关于 地理 位置 的 好坏 ， 大家 可以 google 之 ， 总归 很 好 。,关于 地理 位置 的 好坏 ， 大家 可以 谷歌 之 ， 总归 很 好 。,[],[8],[8],[5_10_14],[5_10_14]
CMU_1319,房屋 位置 ： 房子 在 cathedral mansion .,房屋 位置 ： 房子 在 教堂 。,[],[5_6_7],[5_6],[2_7],[2_6]
CMU_1320,mozart 的 房子 ， 这个 公寓 在 匹兹堡 很 出名 ， 是 老牌 的 公寓 了 。,莫扎特 的 房子 ， 这个 公寓 在 匹兹堡 很 出名 ， 是 老牌 的 公寓 了 。,[],[0],[0],[3_10_16],[3_10_16]
CMU_1357,google map 还是 比较 准确 的 。,谷歌 地图 还是 比较 准确 的 。,[],[0_1],[0_1],[6],[6]
CMU_1364,房子 信息 如下 ： 位置 : squirrel hill .,房子 信息 如下 ： 位置 : 松鼠山 。,[],[6_7_8],[6_7],[3_5_8],[3_5_7]
CMU_1422,具体 可以 再 google 地图 上 看到 。,具体 可以 再 谷歌 地图 上 看到 。,[],[3],[3],[7],[7]
CMU_1423,本人 匹 大 的 phd ， 女生 。,本人 匹 大 的 博士 ， 女生 。,[],[4_5],[4_5],[5_7],[5_7]
CMU_1444,一 来 pittsburgh 就 能 入住 ， 什么 事情 都 不用 烦恼 ， 而且 许多 家具 可以 送给 你 .,一 来 匹兹堡 就 能 入住 ， 什么 事情 都 不用 烦恼 ， 而且 许多 家具 可以 送给 你 。,[],[2],[2],[6_12_19],[6_12_19]
CMU_1457,craig 上 有 两 间 中式 餐厅 ，,克莱格 上 有 两 间 中式 餐厅 ，,[],[0],[0],[7],[7]
CMU_1494,请 联系 ： ying fei,请 联系 ： 人名,[],[3_4],[3],[2],[2]
CMU_1542,suv 非常 适合 匹兹堡 ， 底盘 高 ， 性能 好 。,吉普 非常 适合 匹兹堡 ， 底盘 高 ， 性能 好 。,[],[0],[0],[4_7_10],[4_7_10]
CMU_1549,住 king edward ， 最好 提货 地点 近 一些 ， 8 .,住 皇 爱德华 ， 最好 提货 地点 近 一些 ， 8 。,[],[1_2_3],[1_2_3_10_11],[3_9_11],[3_9_11]
CMU_1570,系统 及 功能 就 不用 说 了 ， 用 mac 的 都 知道 。,系统 及 功能 就 不用 说 了 ， 用 苹果 电脑 的 都 知道 。,[],[9],[9_10],[7_13],[7_14]
CMU_1574,全新 洗衣 袋 共 六 只 （ 有 bra 专用 袋 ） 0 .,全新 洗衣 袋 共 六 只 （ 有 内衣 专用 袋 ） 0 。,[],[8],[8_12_13],[6_11_13],[6_11_13]
CMU_1582,可以 提供 port forward ， mac 克隆 ， qos ip 分流 功能 。,可以 提供 左弦 ， 苹果 电脑 克隆 ， 弹性 带宽 分流 功能 。,[],[2_3_4_5_8_9],[2_3_4_5_8_9],[4_7_12],[3_7_12]
CMU_1587,地址 在 frick park 附近 。,地址 在 弗莱克 公园 附近 。,[],[2_3],[2_3],[5],[5]
CMU_1589,假如 能 保留 到 下 周一 ， 本人 已 到 pittsburgh ， 可以 再 联系 取 。,假如 能 保留 到 下 周一 ， 本人 已 到 匹兹堡 ， 可以 再 联系 取 。,[],[10_11],[10_11],[6_11_16],[6_11_16]
CMU_1592,我 已 在 匹兹堡 ， 家 在 royal garden ， 不 会 开车 。,我 已 在 匹兹堡 ， 家 在 皇家 园林 ， 不 会 开车 。,[],[7_8_9],[7_8_9],[4_9_13],[4_9_13]
CMU_1599,出售 一 辆 红色 的 toyota corolla le ， 1 .,出售 一 辆 红色 的 丰田 卡 罗拉 ， 1 。,[],[5_6_7_8_9_10],[5_6_7_8_9_10],[8_10],[8_10]
CMU_1601,东西 在 google doc 里 。,东西 在 谷歌 文件 里 。,[],[2_3],[2_3],[5],[5]
CMU_1630,信号 和 att 共享 ， 不用 担心 信号 差 。,信号 和 通讯 公司 共享 ， 不用 担心 信号 差 。,[],[2],[2_3],[4_9],[5_10]
CMU_1638,照片 在 google drive 链接 里 。,照片 在 谷歌 硬盘 链接 里 。,[],[2_3],[2_3],[6],[6]
CMU_1641,target 现价 $ 30 .,塔吉特 现价 $ 30 。,[],[0],[0_3_4],[2_4],[2_4]
CMU_1649,操作 系统 ： windows 8 .,操作 系统 ： windows8 。,[],[3_4_5],[3_4],[2_5],[2_4]
CMU_1653,honeywell 电 风扇 ， amazon 23 .,品牌 电风扇 ， 亚马逊 23 。,[],[0_4_5_6],[0_1_2_3_4_5],[3_6],[2_5]
CMU_1660,请 有 需要 的 朋友 尽快 联系 michael ， 短信 至 pn-37 。,请 有 需要 的 朋友 尽快 联系 迈克尔 ， 短信 至 pn-37 。,[],[7_8],[7_8],[8_11_12],[8_11_12]
CMU_1661,详细 信息 请 电话 或 短信 联系 michael 。,详细 信息 请 电话 或 短信 联系 迈克尔 。,[],[7_8],[7_8],[8],[8]
CMU_1662,出售 acer 21 .,出售 爱信 21 。,[],[1_2_3],[1_2_3],[3],[3]
CMU_1666,mini 冰箱 $ 258 .,小型 冰箱$258 。,[],[0],[0_1_2],[2_4],[1_2]
CMU_1667,可以 轻松 在 cmos 里 超频 。,可以 轻松 在 专业 术语 里 超频 。,[],[3],[3_4],[6],[7]
CMU_1677,如果 您 能 完整 填写 调查 问卷 ， 留下 联系 方式 ， 就 有 机会 获得 价值 50 $ 的 amazon gift card 。,如果 您 能 完整 填写 调查 问卷 ， 留下 联系 方式 ， 就 有 机会 获得 价值 50$ 的 亚马逊 购物卡 。,[],[20_21_22_23],[19_20_21],[7_11_18_23],[7_11_17_21]
CMU_1682,请 看 google doc ， 联系 邮箱 在 里面 ， 谢谢 ！,请 看 谷歌 文档 ， 联系 邮箱 在 里面 ， 谢谢 ！,[],[2_3_4],[2_3_4],[4_9_11],[4_9_11]
CMU_1684,只是 我 找 宜家 的 网站 没 找到 这 款 ， 只 找到 了 amazon 的 链接 （ 有 照片 和 介绍 文字 ） ， 如果 检索 产品 名字 可以 找到 图片 。,只是 我 找 宜家 的 网站 没 找到 这 款 ， 只 找到 了 亚马逊 的 链接 （ 有 照片 和 介绍 文字 ） ， 如果 检索 产品 名字 可以 找到 图片 。,[],[14],[14],[10_17_23_24_32],[10_17_23_24_32]
CMU_1685,那 我 把 amazon 的 网站 信息 不 贴 这里 了 。,那 我 把 亚马逊 的 网站 信息 不 贴 这里 了 。,[],[3],[3],[11],[11]
CMU_1694,再 送 一 个 holmes tower fan ， 很 安静 ～,再 送 一 个 风扇 ， 很 安静 ～,[],[4_5_6_7],[4_5],[7_10],[5_8]
CMU_1708,只 加 shell v power 。,只 加 壳牌 石油 。,[],[2_3_4_5],[2_3_4],[5],[4]
CMU_1723,图片 （ 请 忽略 google doc 的 价格 ！,图片 （ 请 忽略 谷歌 文档 的 价格 ！,[],[4_5],[4_5],[1_8],[1_8]
CMU_1729,heinz 学院 组织 的 活动 ， 有 车 接送 ， 有 午餐 提供 。,亨兹 学院 名称 学院 组织 的 活动 ， 有 车 接送 ， 有 午餐 提供 。,[],[0],[0_2],[5_9_13],[7_11_15]
CMU_1735,now foods 32oz / 包,食物 32oz/ 包,[],[0_1_2_3],[0_1],[3],[1]
CMU_1739,花色 ： orange tabby ， （ 也 有 人 叫 red tabby ） 。,花色 ： 虎皮 猫 ， （ 也 有 人 叫 虎皮 猫 ） 。,[],[2_3_4_5_10_11_12_13],[2_3_4_5_10_11_12_13],[1_4_5_12_13],[1_4_5_12_13]
CMU_1740,注意 是 在 加州 的 sv 校区 哈 ， 不是 pittsburgh 。,注意 是 在 加州 的 校区 名称 校区 哈 ， 不是 匹兹堡 。,[],[5_10_11],[6_11_12],[8_11],[9_12]
CMU_1741,可 扫描 ， 兼容 os x 10 .,可 扫描 ， 兼容 os 10 系统 。,[os],[4_5_6_7],[4_5_6_7],[2_7],[2_7]
