SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,CodeSwitch2,CodeSwitch3,CodeSwitch4
1534,chase 再 考虑 别的,1,chase,,,
1535,我 找 了 很久 floor plan,1,floor plan,,,
1536,都 是 在 读 phd,1,phd,,,
1537,graduate student 及 以上 优先,1,graduate student,,,
1538,undergraduate 学生 能 满足 物业 条件 也 可以,1,undergraduate,,,
1539,不 接受 其他 lease,1,lease,,,
1540,想 看 实物 的 可以 周六 去 garage sale,1,garage sale,,,
1541,state college 价钱 可 商量,1,state college,,,
1542,copper beech 一 进门 是 客厅 上 楼梯 有 两 个 房间,1,copper beech,,,
1543,房间 本身 是 furnished,1,furnished,,,
1544,除了 各 种 copper beech 本身 有的 家具,1,copper beech,,,
1545,lease 是 单独 签 这 一 间 卧室,1,lease,,,
1546,年初 偷 懒 renew 了,1,renew,,,
1547,所以 不用 和 其他 人 share,1,share,,,
1548,因为 我 是 renew 的 价,1,renew,,,
1549,每 个 月 的 utility 是 电 和气,1,utility,,,
1550,帮 楼 主 update 一下,1,update,,,
1551,所以 房子 现在 还 available,1,available,,,
1552,queen size 的 床 是 一 米 五 的,1,queen size,,,
1553,举办 yard sale,1,yard sale,,,
1554,是否 继续 ta 要看 导师 有 没 有 funding 给 你 付 工资 和 学费,2,ta,funding,,
1555,com 微 信号,1,com,,,
1556,我 的 email,1,email,,,
1557,为 去年 款 tablet,1,tablet,,,
1558,显示 你 的 微 信 compromised,1,compromised,,,
1559,打算 今年 秋 申请 phd,1,phd,,,
1560,更新 条件 为 到 ist building 近 一点,1,ist building,,,
1561,s club 后面,1,s club,,,
1562,两 个 full bath,1,full bath,,,
1563,不 包含 各 种 utilities,1,utilities,,,
1564,但 需 独立 的 bathroom,1,bathroom,,,
1565,disposal 有 停车 permit,2,disposal,permit,,
1566,以及 一 个 visitor parking permit,1,visitor parking permit,,,
1567,绝对 实惠 独立 的 storage unit 位 于 一 层,1,storage unit,,,
1568,走路 十 分钟 附近 有 很多 park,1,park,,,
1569,地址 在 blue course commons,1,blue course commons,,,
1570,请 联系 email,1,email,,,
1571,代 八月 来 这儿 的 一 个 phd 朋友 发 的,1,phd,,,
1572,不 要 party prince,1,party prince,,,
1573,药店 rite aid,1,rite aid,,,
1574,二 手 商店 goodwill 齐 聚 的 westerly parkway,2,goodwill,westerly parkway,,
1575,lease 至 明年 暑假,1,lease,,,
1576,maintenance 大部分 都 在 bmw dealership,2,maintenance,bmw dealership,,
1577,这 车 是 我 出差 nyc 和 dc 的 主力,2,nyc,dc,,
1578,要 不 一起 去 签 个 lease,1,lease,,,
1579,要 不 一起 去 签 个 lease,1,lease,,,
1580,要 重 签 一 年 lease,1,lease,,,
1581,要去 机场 旁边 的 一 个 宾馆 参加 training,1,training,,,
1582,com 请 cc 两 个 邮件,2,com,cc,,
1583,两 个 bedroom 每 一 间 都 有 自己 独立 卫生间,1,bedroom,,,
1584,房子 到 bus 站 一 分钟 就 能 走到,1,bus,,,
1585,房租 每 个 月 rent 一共,1,rent,,,
1586,所以 all in all 每 个 月 花费 只 约 六百 刀 搞定,1,all in all,,,
1587,park forest villas 一 室 一 厅,1,park forest villas,,,
1588,jfk 另 算,1,jfk,,,
1589,可以 直接 送到 world trade center 吗,1,world trade center,,,
1590,可以 直接 送到 world trade center 吗,1,world trade center,,,
1591,只要 满足 各 种 赔付 额 条件 的 保险 都 可以 申请 waiver,1,waiver,,,
1592,小区 提供 bus pass,1,bus pass,,,
1593,不 走 gift,1,gift,,,
1594,帮 朋友 问 ride 联系 方式,1,ride,,,
1595,park crest 两 人 间,1,park crest,,,
1596,租房 子 的 是 一 位 很 nice 的 访 学 男 老师,1,nice,,,
1597,原来 是 从 target 买 的 新 的,1,target,,,
1598,不 知道 这个 bbs 怎么 点 回复 啊,1,bbs,,,
1599,cooker 功能 齐全 的 电 压力锅,1,cooker,,,
1600,租金 包括 了 condo fee,1,condo fee,,,
1601,有偿 求 ride,1,ride,,,
1602,短信 我 eight one four eight eight zero,1,eight one four eight eight zero,,,
1603,建议 买 之前 发 邮件 问 一下 health center 是否 能 替代,1,health center,,,
1604,再者 waiver 填 表格 麻烦 吗,1,waiver,,,
1605,建议 买 之前 发 邮件 问 一下 health center 是否 能 替代,1,health center,,,
1606,com 万分 感谢,1,com,,,
1607,需要 跟 一 个 女生 share 卫生间,1,share,,,
1608,ve 和 vn,2,ve,vn,,
1609,sem 全新 智能 体重 秤,1,sem,,,
1610,求 几 天 短 租用 来 寻 个 住处 在 我 两 个 房屋 lease 之间 过渡,1,lease,,,
1611,颜色 为 burgundy,1,burgundy,,,
1612,sem 全新 智能 体重 秤,1,sem,,,
1613,有偿 求 ride,1,ride,,,
1614,所以 希望 能 找 可以 delivery 的 店 购买 家具,1,delivery,,,
1615,学校 后面 的 lion surplus 里面 有 很多,1,lion surplus,,,
1616,giant 和 中国 超市,1,giant,,,
1617,基本 不 开 party,1,party,,,
1618,地点 在 copper beach,1,copper beach,,,
1619,如果 有 喜欢 狗 狗 的 朋友 愿意 帮忙 照看 lucio,1,lucio,,,
1620,com 请 联系 我,1,com,,,
1621,国内 ota 行业 no,2,ota,no,,
1622,你 要 去 nyc 还是 哪 啊,1,nyc,,,
1623,你 要 去 nyc 还是 哪 啊,1,nyc,,,
1624,你 要 去 nyc 还是 哪 啊,1,nyc,,,
1625,你 要 去 nyc 还是 哪 啊,1,nyc,,,
1626,七月 中旬 开始 签 一 年 lease,1,lease,,,
1627,小区 提供 bus pass,1,bus pass,,,
1628,nv 和 vn 线 配套 设施,2,nv,vn,,
1629,furnished or not 也 都 没有 问题,1,furnished or not,,,
1630,也 有 公交 和 学校 的 shuttle,1,shuttle,,,
1631,两 个 spots,1,spots,,,
1632,clubhouse 有 免费 彩印,1,clubhouse,,,
1633,最后 看到 imperial tower 还 可以 申请,1,imperial tower,,,
1634,imperial tower 的 房子 很 抢手,1,imperial tower,,,
1635,车 是 自动 挡 automatic transmission 的,1,automatic transmission,,,
1636,当天 办理 title 转让 手续,1,title,,,
1637,请 问 你 还 需要 ride 吗,1,ride,,,
1638,非常 好 的 房子 欢迎 联系 lease,1,lease,,,
1639,可以 去 http,1,http,,,
1640,个人 觉得 不 太 适合 family 住,1,family,,,
1641,powder room 这样,1,powder room,,,
1642,可以 去 http,1,http,,,
1643,个人 觉得 不 太 适合 family 住,1,family,,,
1644,我 在 state college 住 了 好 几 年 的 感觉,1,state college,,,
1645,my thai 等 餐馆,1,my thai,,,
1646,以及 ymca 运动 中心,1,ymca,,,
1647,两 个 人 share 卫生间,1,share,,,
1648,office 人 很 好,1,office,,,
1649,在 stratford dr 上,1,stratford dr,,,
1650,不用 担心 错过 bus,1,bus,,,
1651,一 层 是 客厅 和 厨房 带 一 个 bathroom,1,bathroom,,,
1652,二 层 有 两 个 卧室 share 一 个 bathroom,2,share,bathroom,,
1653,出租 的 房间 是 二 层 两 个 bedroom 其中 的 一 间,1,bedroom,,,
1654,都 是 phd,1,phd,,,
1655,基本 不 在家 party,1,party,,,
1656,如果 是 女生 需要 跟 另 一 个 男生 share 一 个 bathroom,2,share,bathroom,,
1657,房子 后面 就 有 一 个 park,1,park,,,
1658,parking 很 方便,1,parking,,,
1659,village square 入住 时间,1,village square,,,
1660,不 开 party,1,party,,,
1661,小区 提供 visitor parking,1,visitor parking,,,
1662,还有 健身房 和 泳池 在 clubhouse 附近,1,clubhouse,,,
1663,可以 与 office 联系,1,office,,,
1664,预约 看 房 或 签 lease,1,lease,,,
1665,office 的 人 很 nice 的,2,office,nice,,
1666,这 是 office manager 的 邮箱,1,office manager,,,
1667,表示 villas 往返 学校 的 交通 太 不 便利 了,1,villas,,,
1668,可以 一起 租车 去 jfk,1,jfk,,,
1669,小区 release 含 bus pass,2,release,bus pass,,
1670,你 找到 ride 了 吗,1,ride,,,
1671,你 找到 ride 了 吗,1,ride,,,
1672,你 找到 ride 了 吗,1,ride,,,
1673,john 还是 个 工匠,1,john,,,
1674,不 像 住 很多 小区 一样 要 和 office 争吵,1,office,,,
1675,park crest terrace 三 室 两 卫 结构,1,park crest terrace,,,
1676,crest terrace 是 state college 性价比 最高 的 小区,2,crest terrace,state college,,
1677,但是 发现 还是 park crest terrace 最 方便,1,park crest terrace,,,
1678,因为 是 新 lease,1,lease,,,
1679,hello 大家 好,1,hello,,,
1680,况且 park forest 这么 抢手 的 小区 不用 担心 租 不 出去,1,park forest,,,
1681,或者 有 定期 去 state college ymca 游泳 的,1,state college ymca,,,
1682,本人 今年 匹 大 刚 毕业 的 master,1,master,,,
1683,可以 提供 ride,1,ride,,,
1684,毕业 出售 full size mattress and box,1,full size mattress and box,,,
1685,有的 小区 不 需要 permit,1,permit,,,
1686,有的 小区 不 需要 permit,1,permit,,,
1687,步行 三 分 钟离 texas 和 红 龙虾 步行 十五 分钟 东方 超市 步行 二十 分钟 旁边 还 有 tj,2,texas,tj,,
1688,apple bee 生活 超级 方便,1,apple bee,,,
1689,还有 club house,1,club house,,,
1690,或者 向 开车 去 纽约 的 同学 有偿 求 ride,1,ride,,,
1691,已经 决定 坐 bus 了,1,bus,,,
1692,因为 现在 租 的 房子 和 下 学年 的 房子 lease 之间 有 个 gap,2,lease,gap,,
1693,在 读 phd,1,phd,,,
1694,最好 是 phd,1,phd,,,
1695,all 海尔 微波炉,1,all,,,
1696,衣架 四五 打 gaming chair,1,gaming chair,,,
1697,color 黑色 小 方 茶几,1,color,,,
1698,color 瑜伽 垫,1,color,,,
1699,坐标 park forest,1,park forest,,,
1700,ve 和 vn,2,ve,vn,,
1701,如果 heights 最好,1,heights,,,
1702,我 这里 有 一 个 copper beech 的 房子,1,copper beech,,,
1703,park crest 两 室 两 卫 结构,1,park crest,,,
1704,因为 是 新 lease,1,lease,,,
1705,park crest terrace 是 state college 性价比 最高 的 小区,2,park crest terrace,state college,,
1706,vanessa 感激 不尽,1,vanessa,,,
1707,人 非常 nice,1,nice,,,
1708,也 基本 不 开 party,1,party,,,
1709,人 非常 nice,1,nice,,,
1710,the bryn 小区 三 人间 其中 一 间 卧室,1,the bryn,,,
1711,非常 nice 也 非常 安静,1,nice,,,
1712,有 兴趣 租 fall semester,1,fall semester,,,
1713,在 imperial tower,1,imperial tower,,,
1714,附近 有 golf 球场,1,golf,,,
1715,share 卫生间 费用,1,share,,,
1716,leasing office 有 健身房 和 游泳池,1,leasing office,,,
1717,本人 在 penn state 做 博 后,1,penn state,,,
1718,yun li 嗯,1,yun li,,,
1719,park forest apartment 的 两 室 一 厅,1,park forest apartment,,,
1720,小区 在 w cherry ln,1,w cherry ln,,,
1721,安静 不 party,1,party,,,
1722,vn 和 nv 几 条 线 站点,2,vn,nv,,
1723,两 个 full 卫生间,1,full,,,
1724,group lease 可以 优惠,1,group lease,,,
1725,park forest apartment 一 室 一 厅,1,park forest apartment,,,
1726,因 某些 不可抗力 需要 转 春天 新 签 的 lease,1,lease,,,
1727,所以 也 希望 接 lease 的 是 女生 哦,1,lease,,,
1728,可以 看 floor plan,1,floor plan,,,
1729,tj max 等 商场,1,tj max,,,
1730,小区 提供 bus pass,1,bus pass,,,
1731,我 最近 还 开车 去 了 趟 华盛顿 和 pittsburgh,1,pittsburgh,,,
1732,房内 还 有 washer 跟 dryer,2,washer,dryer,,
1733,我 可以 把 你 放在 费城 的 outlet,1,outlet,,,
1734,也 希望 全 是 女生 roommates,1,roommates,,,
1735,最好 不 要是 basement,1,basement,,,
1736,落地 灯 http,1,http,,,
1737,台灯 白色 的 http,1,http,,,
1738,小区 离 giant,1,giant,,,
1739,month 全 包,1,month,,,
1740,希望 男生 phd 入住,1,phd,,,
1741,大 living room,1,living room,,,
1742,在 二 层 有 自己 living room,1,living room,,,
1743,park forest apartment 对面,1,park forest apartment,,,
1744,搬家 出 一 full size 床,1,full size,,,
1745,加 一 个 bose 耳机,1,bose,,,
1746,可 去 target 验证 后 交易,1,target,,,
1747,非常 的 nice,1,nice,,,
1748,一 室 一 厅 或者 studio 都 可以,1,studio,,,
1749,dry iron 熨斗,1,dry iron,,,
1750,the view 小区 房间 新,1,the view,,,
1751,小区 门口 就 有 bus,1,bus,,,
1752,rp 直通 学校 和 downtown,2,rp,downtown,,
1753,方便 提供 ride 的 同学,1,ride,,,
1754,欢迎 站 内 信 或 email,1,email,,,
1755,可 步行 去 各 种 超市 如 giant,1,giant,,,
1756,gong 请 备注 看 房,1,gong,,,
1757,college court 一 室 一 厅,1,college court,,,
1758,就 在 giant 对面,1,giant,,,
1759,me 转 cs,2,me,cs,,
1760,想要 拿到 硅谷 offer,1,offer,,,
1761,从 park forest 搬到 park crest,2,park forest,park crest,,
1762,现在 有 一 趟 ride,1,ride,,,
1763,com 微 信号,1,com,,,
1764,团 的 链接 http,1,http,,,
1765,有 没 有 这个 时间 从 jfk 回 村 的,1,jfk,,,
1766,很 新 的 二 层 town house,1,town house,,,
1767,我 也 已经 尽可能 地 要求 leasing office 让 早点 入住 了,1,leasing office,,,
1768,小区 的 押金 里 房租 包含 bus pass,1,bus pass,,,
1769,m 线 etc,2,m,etc,,
1770,giant 大 超市,1,giant,,,
1771,所有 request 都 可以 在 网上 完成,1,request,,,
1772,lease 的 期限 是 一 年 到,1,lease,,,
1773,office 会 帮忙 留意 和 匹配,1,office,,,
1774,什么 community 费,1,community,,,
1775,现在 转手 lease,1,lease,,,
1776,而且 这 部分 钱 实际 里面 的 大部分 在 你 跟 leasing office 合约 结束 的 时候 会 退还 给 你 的,1,leasing office,,,
1777,咨询 过 leasing office,1,leasing office,,,
1778,新人 还是 要 重新 签 lease,1,lease,,,
1779,我们 可以 给 有 兴趣 的 同学 看 lease 文件,1,lease,,,
1780,无比 欢迎 诚心 想要 这个 lease 的 同学 来 联系 我,1,lease,,,
1781,可 步行 去 各 种 超市 如 giant,1,giant,,,
1782,com 骗子 骗子 骗子 骗子 骗子,1,com,,,
1783,伦敦 furniture and household goods 低价 转让,1,furniture and household goods,,,
1784,com 提供 实物 照片 及 介绍,1,com,,,
1785,全 真 mock interviews,1,mock interviews,,,
1786,建立 职业 profile,1,profile,,,
1787,弥补 学校 课程 和 工作 需求 之间 的 gap,1,gap,,,
1788,简历 直接 到达 team manager 手中,1,team manager,,,
1789,老师 都 是 来自 google,1,google,,,
1790,uber 的 工程师,1,uber,,,
1791,全 真 mock interviews,1,mock interviews,,,
1792,建立 职业 profile,1,profile,,,
1793,弥补 学校 课程 和 工作 需求 之间 的 gap,1,gap,,,
1794,安静 不 开 party,1,party,,,
1795,house 和 apartment 都 可以,2,house,apartment,,
1796,leasing office 会 帮忙 收 快递,1,leasing office,,,
1797,靠近 leasing office,1,leasing office,,,
1798,有 v ve vn 等,1,v ve vn,,,
1799,小 区 包 bus pass,1,bus pass,,,
1800,你 是 penn state great valley school of graduate professional studies 的 吗,1,penn state great valley school of graduate professional studies,,,
1801,该 老师 人 很 nice,1,nice,,,
1802,大家 share 所有 路费,1,share,,,
1803,大家 share 所有 路费,1,share,,,
1804,因为 dc 回来 实在 是 找不到 ride,2,dc,ride,,
1805,com 欢迎 咨询,1,com,,,
1806,com 欢迎 咨询,1,com,,,
1807,queen size 床 一 个,1,queen size,,,
1808,bed frame 三 样 都 齐全,1,bed frame,,,
1809,the pointe 其中 一 间 最大 暑假 短 租 房间 带 家具 拎包 入住,1,the pointe,,,
1810,club house 还 有 台球 乒乓球,1,club house,,,
1811,internet 还 有 cable,2,internet,cable,,
1812,不 开 party,1,party,,,
1813,发现 orientation 比 lease 要 早 一 周,2,orientation,lease,,
1814,所有 保养 均 在 nissan dealer,1,nissan dealer,,,
1815,这 明明 是 私人 卖 车 怎么 还 按 dealer 来 算,1,dealer,,,
1816,一 楼 living room,1,living room,,,
1817,可 步行 去 各 种 超市 如 giant,1,giant,,,
1818,staples 也 可 步行 十几 分钟 到达,1,staples,,,
1819,性格 nice 的 博 一 学生,1,nice,,,
1820,卖 一 个 heater,1,heater,,,
1821,heater 买 了 一 年 多,1,heater,,,
1822,pillow 盒子 还在,1,pillow,,,
1823,旁边 有 giant,1,giant,,,
1824,本人 定期 去 im building 打球,1,im building,,,
1825,从 state college 出发 去 费城,1,state college,,,
1826,车 是 excellent 的 状态,1,excellent,,,
1827,希望 全 是 女生 roommates,1,roommates,,,
1828,两 个 人 share 卫生间,1,share,,,
1829,office 人 很 好,1,office,,,
1830,目前 针对 学生 需要 打包 用 的 箱子 全部 free 哦,1,free,,,
1831,village square 入住 时间,1,village square,,,
1832,不 开 party,1,party,,,
1833,小区 提供 visitor parking,1,visitor parking,,,
1834,是 和 你 签 还是 和 officer 签,1,officer,,,
1835,想要 从 纽约 回 state college 也 可以,1,state college,,,
1836,有 需要 ride 的 同学 请 联系,1,ride,,,
1837,因为 本人 要 参加 一 个 summer institute,1,summer institute,,,
1838,来 state college 将近 一 年 时间,1,state college,,,
1839,考察 了 多个 小区 以后 选中 the view 小区,1,the view,,,
1840,在 同等 价位 range 下,1,range,,,
1841,the view 小区 设备 房间 更加 新,1,the view,,,
1842,且 在 bus route 上,1,bus route,,,
1843,提供 free local bus pass,1,free local bus pass,,,
1844,房子 位于 presidents drive 上,1,presidents drive,,,
1845,bus 站 是 通往 campus 前 的 倒数 第二 站,2,bus,campus,,
1846,每个 房间 都 有 closet,1,closet,,,
1847,size bed 的 大小,1,size bed,,,
1848,中 房间 虽然 不 是 walk in,1,walk in,,,
1849,community 的 管理 比较 严格,1,community,,,
1850,com 询问 更多 信息,1,com,,,
1851,二 层 是 三 间 卧室 和 两 个 full bathrooms,1,full bathrooms,,,
1852,一 个 fireplace 和 一 个 露台,1,fireplace,,,
1853,卧室 里 的 床 是 queen,1,queen,,,
1854,最好 能 在 stratford dr,1,stratford dr,,,
1855,整个 apartment 或者 大 bedroom 皆 可 考虑,2,apartment,bedroom,,
1856,请 问 有 没 有 同学 转 lease 的 啊,1,lease,,,
1857,图片 地址 http,1,http,,,
1858,坐标 park forest apartment,1,park forest apartment,,,
1859,都 超级 nice,1,nice,,,
1860,不 开 party,1,party,,,
1861,不 开 party,1,party,,,
1862,大部分 附 购买 原 链接 或 相似 amazon,1,amazon,,,
1863,me 转 cs,2,me,cs,,
1864,想要 拿到 硅谷 offer,1,offer,,,
1865,com 微 信号,1,com,,,
1866,list 上面 的 东西 全部 免费 送,1,list,,,
1867,求 ride 去 纽约,1,ride,,,
1868,在 stratford drive,1,stratford drive,,,
1869,以及 一 个 guest parking,1,guest parking,,,
1870,旁边 有 giant,1,giant,,,
1871,ve v 就 在 门口,1,ve v,,,
1872,giant 和 东方 超市 都 在 v,2,giant,v,,
1873,求 gre kaplan 全 套 复习 资料 online,2,gre kaplan,online,,
1874,该 联 排 别墅 为 一 非常 nice 的 华人 教授 的 私人 住宅,1,nice,,,
1875,可 继续 前往 giant,1,giant,,,
1876,二 手 商品 店 goodwill,1,goodwill,,,
1877,bus 要 十 多 分钟,1,bus,,,
1878,房屋 北面 是 orchard park 公园,1,orchard park,,,
1879,一 个 phd 女生,1,phd,,,
1880,一 个 master 女生,1,master,,,
1881,com 和 我 联系,1,com,,,
1882,转 bus pass,1,bus pass,,,
1883,目前 针对 学生 需要 打包 用 的 箱子 全部 free 哦,1,free,,,
1884,所以 这些 东西 全部 都 送给 要 续签 这个 lease 的 人,1,lease,,,
1885,水电 和 同 一 个 house 的 另外 两 个 人 share bill,2,house,share bill,,
1886,目前 下 学期 貌似 copper beech 会 安排 两 个 男生 过来,1,copper beech,,,
1887,求 一 个 ride,1,ride,,,
1888,已 有 permit,1,permit,,,
1889,jpeg 微 信号,1,jpeg,,,
1890,不 是 furnished,1,furnished,,,
1891,group lease 可以 优惠,1,group lease,,,
1892,已经 有 一 位 可以 加入 group lease,1,group lease,,,
1893,有 当天 去 jfk 的 可以 提供 ride,2,jfk,ride,,
1894,该 房子 位于 parkway plaza 小区 的 logan house,2,parkway plaza,logan house,,
1895,非常 适合 来 state college 学习 的 学生 以及 访问 学者,1,state college,,,
1896,该 小区 在 penn state 南边,1,penn state,,,
1897,s used furniture 和 goodwill store,2,s used furniture,goodwill store,,
1898,西侧 是 state high school,1,state high school,,,
1899,出租 copper beech aaron 一 楼 大 卧室,1,copper beech aaron,,,
1900,amazon 上 原价,1,amazon,,,
1901,我 认识 一 个 姐姐 是 这里 的 real estate agent,1,real estate agent,,,
1902,是 transfer lease,1,transfer lease,,,
1903,queen size 床,1,queen size,,,
1904,mr coffee 用 了 半 年,1,mr coffee,,,
1905,hamilton beach 果汁 机,1,hamilton beach,,,
1906,然后 我们 take group photo,1,take group photo,,,
1907,每 个 人 独立 的 bedroom 和 bathroom,2,bedroom,bathroom,,
1908,utility 基本 全 包,1,utility,,,
1909,有 bus pass,1,bus pass,,,
1910,com 也 可以,1,com,,,
1911,有偿 求 ride,1,ride,,,
1912,做 寿司 的 kit,1,kit,,,
1913,村里 华人 著名 的 park forest apartment,1,park forest apartment,,,
1914,king size 的 床,1,king size,,,
1915,giant 以及 东方 超市 步行 距离,1,giant,,,
1916,我们 move out 前 会 把 一切 打扫 干净,1,move out,,,
1917,queen size 的,1,queen size,,,
1918,the pointe 四 人间 其中 的 一 间,1,the pointe,,,
1919,pointe 小区 离 wal,2,pointe,wal,,
1920,我 会 把 bus pass 留给 你,1,bus pass,,,
1921,房型 是 studio apartment 租金,1,studio apartment,,,
1922,从 state college 去 纽约,1,state college,,,
1923,com 联系 电话,1,com,,,
1924,leasing office 会 帮忙 收 快递,1,leasing office,,,
1925,靠近 leasing office,1,leasing office,,,
1926,有 v ve vn 等,1,v ve vn,,,
1927,小 区 包 bus pass,1,bus pass,,,
1928,本人 phd 男生,1,phd,,,
1929,无 party 嗜好,1,party,,,
1930,但 对 你 的 lease 很 有 兴趣,1,lease,,,
1931,giant 等 超市 旁,1,giant,,,
1932,可以 share 卫生间,1,share,,,
1933,lease 可 与 房东 重新 签,1,lease,,,
1934,房东 超 nice,1,nice,,,
1935,小区 在 state college 北边,1,state college,,,
1936,com 提供 房间 照片,1,com,,,
1937,com 加 好友 的 时候 麻烦 备注 一下,1,com,,,
1938,我 也 在 考虑 park crest 两 室 两 卫 的,1,park crest,,,
1939,我 刚 签 的 新 lease,1,lease,,,
1940,坐标 park forest apartment,1,park forest apartment,,,
1941,其中 一 间 有 walk,1,walk,,,
1942,洗手 间 有 closet,1,closet,,,
1943,二 楼 还 有 shoe closet for share,1,shoe closet for share,,,
1944,前后 门 分别 有 一 个 bus stop,1,bus stop,,,
1945,bus pass 包含 在 房租 里,1,bus pass,,,
1946,trader joe 都 是 步行 距离,1,trader joe,,,
1947,bus 可 到 东方 超市 和 韩国 超市,1,bus,,,
1948,租房 免费 送 bus pass,1,bus pass,,,
1949,heights 社区 各 种 设备 完善,1,heights,,,
1950,com 只要 诚心 想 租,1,com,,,
1951,定期 在 midas 做 保养,1,midas,,,
1952,good condition 报价,1,good condition,,,
1953,卖 bus token,1,bus token,,,
1954,decker 办公室 用 小 冰箱,1,decker,,,
1955,四 人间 deluxe 的 卧室 一 间,1,deluxe,,,
1956,giant 超市 非常 方便,1,giant,,,
1957,一 个 人 住 整个 apartment,1,apartment,,,
1958,还 可以 送 bus pass,1,bus pass,,,
1959,the pointe 四 人间 其中 的 一 间,1,the pointe,,,
1960,pointe 小区 离 wal,2,pointe,wal,,
1961,我 会 把 bus pass 留给 你,1,bus pass,,,
1962,house 三 层,1,house,,,
1963,可 步行 去 各 种 超市 如 giant,1,giant,,,
1964,garden 的 parking 是 不 限 车辆 数量 全 免费,2,garden,parking,,
1965,如果 举行 party,1,party,,,
1966,小孩 的 play ground,1,play ground,,,
1967,有 想法 发 邮件 key,1,key,,,
1968,full size 床,1,full size,,,
1969,一 层 车库 和 family room,1,family room,,,
1970,二 楼 living room,1,living room,,,
1971,右 舍 university park,1,university park,,,
1972,有 多 条 hiking 线路,1,hiking,,,
1973,我 的 联系 方式 微 信号 diane,1,diane,,,
1974,入住 送 星 爸爸 gift,1,gift,,,
1975,本人 是 penn state 学生,1,penn state,,,
1976,微 信号 diane,1,diane,,,
1977,我 住 imperial towers 两 室 一 厅,1,imperial towers,,,
1978,入住 送 星 爸爸 gift,1,gift,,,
1979,后面 是 state college 高中,1,state college,,,
1980,非常 安静 nice,1,nice,,,
1981,一 层 是 living room,1,living room,,,
1982,month 请 联系 微 信,1,month,,,
1983,需要 和 她 share 一 个 卫生间,1,share,,,
1984,month 全 包,1,month,,,
1985,ee major 必备,1,ee major,,,
1986,bus pass 可 坐 n,2,bus pass,n,,
1987,不 是 furnished,1,furnished,,,
1988,group lease 可以 优惠,1,group lease,,,
1989,已经 有 一 位 可以 加入 group lease,1,group lease,,,
1990,我 可以 免费 提供 bus pass,1,bus pass,,,
1991,dining table 和 各 种 椅子 如 有 兴趣,1,dining table,,,
1992,house or apartment 均 可,1,house or apartment,,,
1993,nv 等 一切 经过 北边 的 bus,2,nv,bus,,
1994,人 在 heights,1,heights,,,
1995,可以 来 heights 自 提货,1,heights,,,
1996,还有 一 堆 gre 的 书,1,gre,,,
1997,水电 网络 电视 cable,1,cable,,,
1998,洗衣 房 在 同 一 幢 building 里面,1,building,,,
1999,送 brother 无线 打印机 一 台,1,brother,,,
2000,发 邮件 至 guo,1,guo,,,
2001,edu 非 城 勿 忧,1,edu,,,
2002,离 健身 中心 ymca 走路 几 分钟,1,ymca,,,
2003,小孩 的 play ground,1,play ground,,,
2004,heights at state college 户型,1,heights at state college,,,
2005,整 栋 house 都 是 你 的,1,house,,,
2006,有 没 有 人 转让 bus pass,1,bus pass,,,
2007,床 是 queen size,1,queen size,,,
2008,full size 床,1,full size,,,
2009,一 层 车库 和 family room,1,family room,,,
2010,二 楼 living room,1,living room,,,
2011,右 舍 university park,1,university park,,,
2012,有 多 条 hiking 线路,1,hiking,,,
2013,在 west aaron drive,1,west aaron drive,,,
2014,copper beech 对面,1,copper beech,,,
2015,带 bus pass,1,bus pass,,,
2016,平时 安静 没有 party,1,party,,,
2017,com 注明 租房 电话,1,com,,,
2018,png 联系 方式,1,png,,,
2019,r 线 bus,2,r,bus,,
2020,药店 rite aid,1,rite aid,,,
2021,二 手 商店 goodwill 齐 聚 的 westerly parkway,2,goodwill,westerly parkway,,
2022,两 间 房 share 一 个 洗手间,1,share,,,
2023,四 人 share 厨房 和 公共 空间,1,share,,,
2024,准备 申请 opt 所以 寒假 也 会 租,1,opt,,,
2025,blue course 旁 住宅 小区 的 single house,2,blue course,single house,,
2026,旁边 有 giant,1,giant,,,
2027,并且 提供 免费 的 bus pass,1,bus pass,,,
2028,所以 一切 都 是 走 正常 的 lease 程序,1,lease,,,
2029,只是 要 take over 我 的 lease,2,take over,lease,,
2030,三 层 大 house,1,house,,,
2031,有 兴趣 的 同学 可以 在 google map 上 查看,1,google map,,,
2032,rental office 是 park forest,2,rental office,park forest,,
2033,不 需要 签 麻烦 的 lease,1,lease,,,
2034,有 兴趣 的 同学 可以 在 google map 上 查看,1,google map,,,
2035,rental office 是 park forest,2,rental office,park forest,,
2036,edu 祝 大家 考试 顺利,1,edu,,,
2037,以及 是 house,1,house,,,
2038,wet 手机 号码,1,wet,,,
2039,两 室 两 卫 一 厅 需要 和 一 个 美国 女生 share 一 个 卧室 和 卫生间,1,share,,,
2040,小区 出口 有 police department,1,police department,,,
2041,f bus 都 可以 到 校园,1,f bus,,,
2042,邻居 非常 nice,1,nice,,,
2043,state college high school 免费 停车,1,state college high school,,,
2044,可 提供 一 张 免费 bus 卡,1,bus,,,
2045,lawn mowing 费用 有 多余 厨具 可供 免费 使用,1,lawn mowing,,,
2046,不 开 party,1,party,,,
2047,不 养 pet,1,pet,,,
2048,有意 租房 请 站 内 联系 或者 email,1,email,,,
2049,房子 及 小区 概况 请 点击 头像 看 picture,1,picture,,,
